Angle of Incidence (degrees),Trans.,Refl_f,Refl_b,Abs. Outer Pane,Abs. Inner Pane,SHGC
0,0.703,0.128,0.128,0.096,0.072,0.769
10,0.702,0.128,0.128,0.097,0.073,0.768
20,0.699,0.128,0.128,0.099,0.074,0.766
30,0.692,0.130,0.130,0.102,0.075,0.761
40,0.678,0.139,0.139,0.106,0.077,0.748
50,0.646,0.164,0.164,0.112,0.078,0.718
60,0.577,0.227,0.227,0.119,0.077,0.651
70,0.438,0.365,0.365,0.127,0.070,0.509
80,0.208,0.612,0.612,0.130,0.050,0.267
90,0.000,1.000,1.000,0.000,0.000,0.000
Hemis.,0.601,0.206,0.206,0.110,0.073,0.670
