"Element","k, W/(m·K)","Thickness, m","U, W/(m²·K)","R, m²·K/W","Density, kg/m³","cp, J/(kg·K)"
"High-Mass Case: Exterior Wall (inside to outside)",,,,,,
Concrete Block,0.51,0.100,5.100,0.196,1400,1000
Foam Insulation,0.04,0.0615,0.651,1.537,10,1400
Wood Siding,0.14,0.009,15.556,0.064,530,900
"High-Mass Case: Raised Floor (inside to outside)",,,,,,
Concrete Slab,1.13,0.080,14.125,0.071,1400,1000
Insulation,0.04,1.007,0.040,25.175,0,0
"High-Mass Case: Roof (inside to outside)",,,,,,
Plasterboard,0.16,0.010,16.000,0.063,950,840
Fiberglass quilt,0.04,0.1118,0.358,2.794,12,840
Roofdeck,0.14,0.019,7.368,0.136,530,900
