Time (hrs),Zone Temp (C),Outside Temp (C),HVAC Power (W),Fabric Loss (W),Air Exchange Loss (W),Solar Gains (W),Internal Gains (W),Window State (0-1)
0.0000,14.9899,5.1020,30.2736,48.6190,3.6529,0.0000,0.0000,0.0000
0.0167,14.9891,5.0895,37.5383,48.8542,3.6587,0.0000,0.0000,0.0000
0.0333,14.9886,5.0770,44.9096,49.2408,3.6646,0.0000,0.0000,0.0000
0.0500,14.9886,5.0645,52.1624,49.7729,3.6707,0.0000,0.0000,0.0000
0.0667,14.9888,5.0520,59.0922,50.4402,3.6769,0.0000,0.0000,0.0000
0.0833,14.9894,5.0395,65.5198,51.2292,3.6833,0.0000,0.0000,0.0000
0.1000,14.9903,5.0270,71.2956,52.1235,3.6898,0.0000,0.0000,0.0000
0.1167,14.9913,5.0145,76.3017,53.1044,3.6964,0.0000,0.0000,0.0000
0.1333,14.9925,5.0020,80.4538,54.1519,3.7031,0.0000,0.0000,0.0000
0.1500,14.9939,4.9895,83.7007,55.2455,3.7099,0.0000,0.0000,0.0000
0.1667,14.9953,4.9770,86.0243,56.3645,3.7167,0.0000,0.0000,0.0000
0.1833,14.9967,4.9645,87.4371,57.4890,3.7235,0.0000,0.0000,0.0000
0.2000,14.9981,4.9520,87.9796,58.6004,3.7303,0.0000,0.0000,0.0000
0.2167,14.9994,4.9395,87.7172,59.6819,3.7370,0.0000,0.0000,0.0000
0.2333,15.0006,4.9270,86.7360,60.7187,3.7437,0.0000,0.0000,0.0000
0.2500,14.9972,4.9145,0.0000,59.8745,3.7483,0.0000,0.0000,0.0000
0.2667,14.9940,4.9020,4.4992,59.1490,3.7531,0.0000,0.0000,0.0000
0.2833,14.9912,4.8895,11.2639,58.5869,3.7580,0.0000,0.0000,0.0000
0.3000,14.9889,4.8770,19.2962,58.2109,3.7631,0.0000,0.0000,0.0000
0.3167,14.9871,4.8645,28.2633,58.0361,3.7684,0.0000,0.0000,0.0000
0.3333,14.9858,4.8520,37.8274,58.0705,3.7740,0.0000,0.0000,0.0000
0.3500,14.9850,4.8395,47.6571,58.3146,3.7799,0.0000,0.0000,0.0000
0.3667,14.9847,4.8270,57.4370,58.7626,3.7859,0.0000,0.0000,0.0000
0.3833,14.9849,4.8145,66.8767,59.4026,3.7922,0.0000,0.0000,0.0000
0.4000,14.9856,4.8020,75.7187,60.2175,3.7987,0.0000,0.0000,0.0000
0.4167,14.9866,4.7895,83.7434,61.1860,3.8054,0.0000,0.0000,0.0000
0.4333,14.9879,4.7770,90.7736,62.2835,3.8122,0.0000,0.0000,0.0000
0.4500,14.9895,4.7645,96.6774,63.4832,3.8192,0.0000,0.0000,0.0000
0.4667,14.9913,4.7520,101.3682,64.7567,3.8262,0.0000,0.0000,0.0000
0.4833,14.9932,4.7395,104.8049,66.0758,3.8333,0.0000,0.0000,0.0000
0.5000,14.9951,4.7270,106.9893,67.4126,3.8404,0.0000,0.0000,0.0000
0.5167,14.9971,4.7145,107.9629,68.7407,3.8475,0.0000,0.0000,0.0000
0.5333,14.9989,4.7020,107.8030,70.0435,3.8545,0.0000,0.0000,0.0000
0.5500,15.0006,4.6895,106.5918,71.2908,3.8615,0.0000,0.0000,0.0000
0.5667,14.9966,4.6770,0.0000,70.1939,3.8664,0.0000,0.0000,0.0000
0.5833,14.9929,4.6645,5.4324,69.2445,3.8709,0.0000,0.0000,0.0000
0.6000,14.9897,4.6520,13.3764,68.4924,3.8756,0.0000,0.0000,0.0000
0.6167,14.9870,4.6395,22.7756,67.9634,3.8806,0.0000,0.0000,0.0000
0.6333,14.9849,4.6270,33.2374,67.6749,3.8859,0.0000,0.0000,0.0000
0.6500,14.9835,4.6145,44.3648,67.6351,3.8914,0.0000,0.0000,0.0000
0.6667,14.9826,4.6020,55.7691,67.8439,3.8972,0.0000,0.0000,0.0000
0.6833,14.9823,4.5895,67.0819,68.2935,3.9033,0.0000,0.0000,0.0000
0.7000,14.9826,4.5770,77.9655,68.9690,3.9096,0.0000,0.0000,0.0000
0.7167,14.9834,4.5645,88.1213,69.8494,3.9162,0.0000,0.0000,0.0000
0.7333,14.9846,4.5520,97.2966,70.9091,3.9231,0.0000,0.0000,0.0000
0.7500,14.9862,4.5395,105.2887,72.1182,3.9301,0.0000,0.0000,0.0000
0.7667,14.9881,4.5270,111.9485,73.4447,3.9372,0.0000,0.0000,0.0000
0.7833,14.9902,4.5145,117.1806,74.8550,3.9445,0.0000,0.0000,0.0000
0.8000,14.9925,4.5020,120.9425,76.3154,3.9518,0.0000,0.0000,0.0000
0.8167,14.9947,4.4895,123.2421,77.7930,3.9591,0.0000,0.0000,0.0000
0.8333,14.9970,4.4770,124.1335,79.2569,3.9665,0.0000,0.0000,0.0000
0.8500,14.9991,4.4645,123.7119,80.6787,3.9738,0.0000,0.0000,0.0000
0.8667,15.0011,4.4520,122.1075,82.0338,3.9811,0.0000,0.0000,0.0000
0.8833,14.9965,4.4395,0.0000,80.6847,3.9858,0.0000,0.0000,0.0000
0.9000,14.9922,4.4270,5.6558,79.4959,3.9901,0.0000,0.0000,0.0000
0.9167,14.9885,4.4145,14.5708,78.5333,3.9947,0.0000,0.0000,0.0000
0.9333,14.9854,4.4020,25.1705,77.8272,3.9995,0.0000,0.0000,0.0000
0.9500,14.9830,4.3895,37.0064,77.3977,4.0047,0.0000,0.0000,0.0000
0.9667,14.9813,4.3770,49.6240,77.2547,4.0101,0.0000,0.0000,0.0000
0.9833,14.9803,4.3645,62.5783,77.3985,4.0159,0.0000,0.0000,0.0000
1.0000,14.9799,4.3520,75.4467,77.8204,4.0221,0.0000,0.0000,0.0000
1.0167,14.9802,4.3470,87.8415,78.4372,4.0397,0.0000,0.0000,0.0000
1.0333,14.9811,4.3420,99.4141,79.2924,4.0577,0.0000,0.0000,0.0000
1.0500,14.9825,4.3370,109.8719,80.3563,4.0760,0.0000,0.0000,0.0000
1.0667,14.9843,4.3320,118.9799,81.5948,4.0946,0.0000,0.0000,0.0000
1.0833,14.9865,4.3270,126.5639,82.9707,4.1136,0.0000,0.0000,0.0000
1.1000,14.9889,4.3220,132.5119,84.4452,4.1327,0.0000,0.0000,0.0000
1.1167,14.9914,4.3170,136.7727,85.9794,4.1520,0.0000,0.0000,0.0000
1.1333,14.9941,4.3120,139.3530,87.5350,4.1715,0.0000,0.0000,0.0000
1.1500,14.9966,4.3070,140.3127,89.0763,4.1910,0.0000,0.0000,0.0000
1.1667,14.9991,4.3020,139.7595,90.5703,4.2106,0.0000,0.0000,0.0000
1.1833,15.0014,4.2970,137.8411,91.9881,4.2302,0.0000,0.0000,0.0000
1.2000,14.9962,4.2920,0.0000,90.3343,4.2469,0.0000,0.0000,0.0000
